# gap_ms cdf
217.319 0.648995
219.161 0.650823
220.393 0.652651
220.696 0.654479
221.005 0.656307
222.571 0.658135
222.63 0.659963
223.135 0.661792
223.798 0.663620
224.739 0.665448
224.766 0.667276
226.027 0.669104
227.687 0.670932
227.83 0.672761
228.402 0.674589
229.391 0.676417
229.535 0.678245
231.35 0.680073
231.513 0.681901
231.739 0.683729
232.001 0.685558
233.164 0.687386
234.133 0.689214
234.514 0.691042
234.883 0.692870
235.066 0.694698
235.968 0.696527
237.168 0.698355
237.527 0.700183
237.605 0.702011
237.656 0.703839
237.86 0.705667
239.038 0.707495
240.024 0.709324
242.017 0.711152
243.611 0.712980
244.268 0.714808
244.474 0.716636
244.493 0.718464
245.095 0.720293
245.536 0.722121
246.037 0.723949
246.086 0.725777
247.551 0.727605
247.838 0.729433
247.937 0.731261
249.034 0.733090
250.96 0.734918
253.521 0.736746
254.359 0.738574
254.95 0.740402
255.24 0.742230
257.138 0.744059
257.944 0.745887
260.29 0.747715
260.62 0.749543
260.777 0.751371
261.123 0.753199
262.946 0.755027
262.947 0.756856
262.951 0.758684
263.234 0.760512
263.846 0.762340
264.997 0.764168
265.689 0.765996
265.712 0.767824
265.99 0.769653
266.062 0.771481
267.017 0.773309
267.381 0.775137
267.398 0.776965
267.892 0.778793
268.064 0.780622
268.414 0.782450
269.235 0.784278
269.983 0.786106
270.011 0.787934
271.168 0.789762
271.458 0.791590
271.894 0.793419
272.251 0.795247
273.333 0.797075
273.355 0.798903
273.967 0.800731
275.928 0.802559
277.026 0.804388
278.11 0.806216
278.814 0.808044
278.991 0.809872
279.767 0.811700
280.205 0.813528
281.342 0.815356
281.986 0.817185
283.097 0.819013
285.436 0.820841
286.813 0.822669
287.346 0.824497
287.955 0.826325
288.045 0.828154
288.975 0.829982
290.62 0.831810
291.247 0.833638
291.754 0.835466
291.847 0.837294
292.733 0.839122
294.118 0.840951
294.922 0.842779
296.605 0.844607
299.096 0.846435
299.252 0.848263
299.972 0.850091
301.26 0.851920
301.492 0.853748
301.535 0.855576
302.259 0.857404
303.474 0.859232
303.496 0.861060
303.79 0.862888
304.701 0.864717
304.949 0.866545
306.05 0.868373
306.216 0.870201
310.002 0.872029
310.58 0.873857
314.809 0.875686
315.02 0.877514
317.298 0.879342
320.011 0.881170
320.573 0.882998
320.901 0.884826
322.919 0.886654
323.551 0.888483
324.966 0.890311
327.899 0.892139
327.994 0.893967
330.054 0.895795
330.348 0.897623
330.795 0.899452
331.836 0.901280
332.663 0.903108
339.864 0.904936
344.475 0.906764
345.264 0.908592
346.093 0.910420
346.117 0.912249
346.173 0.914077
350.188 0.915905
350.275 0.917733
351.465 0.919561
353.419 0.921389
357.028 0.923218
359.605 0.925046
374.615 0.926874
377.565 0.928702
379.694 0.930530
380.564 0.932358
382.117 0.934186
385.303 0.936015
389.953 0.937843
394.105 0.939671
395.086 0.941499
397.47 0.943327
399.465 0.945155
405.149 0.946984
411.958 0.948812
412.143 0.950640
412.778 0.952468
421.749 0.954296
426.98 0.956124
435.326 0.957952
461.748 0.959781
469.798 0.961609
493.52 0.963437
501.998 0.965265
504.608 0.967093
538.016 0.968921
546.539 0.970750
551.404 0.972578
552.099 0.974406
559.783 0.976234
603.268 0.978062
611.354 0.979890
669.291 0.981718
688.328 0.983547
726.526 0.985375
794.919 0.987203
811.991 0.989031
1010.427 0.990859
1081.991 0.992687
1103.825 0.994516
1134.916 0.996344
1160.009 0.998172
1216.45 1.000000
