0.957 4.612 1
87.104 60.221 1
32.038 34.445 1
11.333 15.126 1
289.627 1194.221 1
10.977 9.828 1
290.917 895.949 1
125.435 442.257 1
255.255 95.754 1
60.509 236.943 1
138.912 102.308 1
60.244 192.504 1
268.418 536.454 1
145.147 204.345 1
287.45 1152.983 1
252.616 802.515 1
137.836 176.53 1
161.822 151.218 1
514.484 157.991 1
205.947 625.385 1
327.74 277.213 1
52.228 263.356 1
246.56 233.767 1
234.393 208.269 1
248.247 239.431 1
268.273 255.453 1
283.791 314.984 1
400.066 310.442 1
325.875 250.219 1
225.693 227.108 1
245.078 239.797 1
299.196 298.962 1
254.917 252.747 1
246.216 240.018 1
253.288 239.43 1
104.768 110.211 1
125.583 150.647 1
167.72 213.323 1
109.233 110.723 1
110.745 123.989 1
112.421 144.948 1
194.218 270.248 1
840.989 181.868 1
168.42 340.815 1
135.025 143.075 1
131.743 228.289 1
131.533 144.341 1
143.794 131.821 1
250.464 273.057 1
137.739 133.516 1
161.899 191.466 1
124.535 123.23 1
121.053 112.587 1
278.613 171.867 1
191.478 311.517 1
227.127 311.604 1
222.427 207.236 1
233.824 180.269 1
246.562 184.358 1
217.725 187.49 1
321.38 399.316 1
185.702 183.752 1
216.622 188.246 1
182.261 169.751 1
191.644 193.542 1
873.448 1412.037 1
213.594 237.034 1
219.676 226.966 1
190.068 200.58 1
255.455 246.606 1
209.493 195.905 1
162.331 593.483 1
199.42 216.775 1
566.085 227.41 1
147.878 197.121 1
238.633 152.268 1
147.286 142.871 1
189.959 183.768 1
259.591 337.786 1
177.776 183.72 1
204.76 169.342 1
897.286 540.954 1
147.253 175.352 1
106.764 121.132 1
95.183 88.854 1
140.003 171.331 1
148.121 161.402 1
13.869 112.496 1
106.342 111.824 1
14.039 124.878 1
120.493 125.823 1
117.579 118.347 1
128.911 101.772 1
22.666 131.424 1
211.017 122.468 1
108.162 125.131 1
161.043 139.386 1
431.78 433.632 1
98.823 100.386 1
252.855 258.528 1
257.356 266.415 1
379.084 425.587 1
272.098 271.263 1
382.426 380.76 1
318.39 319.457 1
420.672 497.601 1
285.393 309.25 1
300.281 276.049 1
374.658 665.503 1
309.47 373.515 1
346.116 341.292 1
228.928 226.322 1
237.114 234.331 1
231.058 226.472 1
242.971 327.303 1
260.38 567.447 1
277.956 296.362 1
257.907 250.716 1
296.805 296.179 1
286.842 278.501 1
409.542 290.996 1
303.939 298.422 1
260.087 256.42 1
360.213 349.222 1
297.589 298.382 1
293.347 488.896 1
389.504 419.014 1
489.445 314.142 1
287.658 253.073 1
314.752 258.236 1
231.143 224.651 1
235.561 235.01 1
288.88 301.278 1
245.286 238.341 1
265.117 263.395 1
324.845 309.119 1
2730.288 3159.302 1
162.824 420.222 1
250.625 235.575 1
312.549 344.378 1
248.646 247.555 1
155.815 387.219 1
356.014 312.164 1
320.982 321.444 1
263.566 258.504 1
293.254 276.307 1
254.051 256.616 1
284.716 -134.087 1
281.107 292.097 1
255.417 254.059 1
148.458 695.007 1
124.649 380.94 1
257.989 279.192 1
273.077 272.337 1
328.611 276.935 1
157.833 382.975 1
330.663 272.835 1
88.204 88.157 1
102.739 104.319 1
108.021 100.83 1
305.182 186.262 1
475.02 180.416 1
135.437 134.2 1
134.455 127.561 1
234.893 269.939 1
108.991 137.032 1
212.027 187.361 1
132.089 152.297 1
99.425 97.336 1
133.497 106.693 1
131.822 211.407 1
118.878 127.794 1
94.697 89.767 1
112.851 104.629 1
154.014 148.371 1
115.545 109.763 1
77.274 253.029 1
223.798 243.053 1
0.693 8.569 1
37.091 56.198 1
16.96 110.4 1
130.682 282.068 1
86.215 87.936 1
4.843 890.642 1
94.821 114.235 1
17.268 107.084 1
237.168 517.045 1
0.041 176.132 1
538.016 535.964 1
23.625 172.061 1
26.9 102.077 1
51.504 42.179 1
246.086 284.494 1
247.838 1060.927 1
286.813 1194.153 1
350.188 247.168 1
611.354 604.495 1
292.733 367.624 1
253.521 252.283 1
267.892 309.147 1
265.689 236.137 1
201.543 213.774 1
233.164 235.412 1
229.535 226.496 1
106.515 361.875 1
237.656 243.817 1
182.276 187.55 1
14.945 113.17 1
271.458 272.35 1
551.404 525.175 1
323.551 323.945 1
244.493 825.297 1
96.606 380.085 1
304.701 300.532 1
95.743 133.826 1
222.571 220.847 1
339.864 1120.906 1
227.687 206.326 1
63.873 52.932 1
345.264 261.156 1
247.937 838.454 1
220.696 207.23 1
134.485 43.727 1
268.414 279.603 1
150.397 522.651 1
265.99 261.402 1
22.607 128.336 1
114.951 139.768 1
726.526 193.808 1
107.754 94.375 1
399.465 682.671 1
0.044 -0.083 1
104.144 100.618 1
118.046 128.983 1
126.719 155.868 1
0.724 0.398 1
35.014 440.261 1
272.251 260.465 1
17.295 107.961 1
178.835 154.903 1
82.086 434.155 1
133.94 139.874 1
78.605 243.349 1
108.357 141.112 1
46.054 112.628 1
111.6 155.857 1
359.605 359.931 1
133.998 126.228 1
203.638 382.551 1
237.527 102.461 1
296.605 233.173 1
164.688 130.097 1
106.283 344.866 1
216.861 239.499 1
117.737 121.092 1
234.133 230.708 1
124.09 170.061 1
291.754 283.189 1
120.731 117.975 1
299.972 309.919 1
124.488 137.849 1
177.753 140.855 1
291.847 354.186 1
244.474 233.347 1
185.387 182.136 1
243.611 239.685 1
226.027 274.392 1
493.52 503.591 1
219.161 258.072 1
208.192 214.697 1
198.971 200.593 1
237.605 233.383 1
185.049 192.476 1
217.319 208.618 1
331.836 373.39 1
181.892 176.945 1
346.117 243.387 1
187.123 191.18 1
246.037 249.328 1
501.998 220.9 1
344.475 477.174 1
179.256 199.619 1
278.814 317.532 1
223.135 183.891 1
237.86 250.277 1
195.032 200.692 1
351.465 367.733 1
176.96 173.084 1
377.565 158.138 1
185.938 189.297 1
163.546 159.353 1
196.88 196.12 1
121.023 127.966 1
181.539 224.399 1
142.506 156.664 1
178.225 182.724 1
117.237 125.852 1
412.143 228.116 1
136.003 195.603 1
206.352 182.023 1
152.775 154.35 1
130.789 128.469 1
178.239 1038.107 1
133.301 204.291 1
174.838 174.924 1
106.972 103.277 1
170.053 171.434 1
104.048 108.203 1
112.545 112.866 1
140.114 127.929 1
112.267 102.919 1
199.257 207.66 1
231.739 129.791 1
222.63 218.468 1
126.953 116.077 1
182.459 196.749 1
114.421 127.04 1
184.457 215.374 1
172.146 157.007 1
224.766 208.195 1
121.161 115.427 1
199.503 196.421 1
104.1 103.385 1
213.695 221.041 1
118.37 143.47 1
221.005 218.1 1
264.997 234.466 1
227.83 205.391 1
135.659 323.545 1
231.35 -38.493 1
190.668 195.843 1
199.435 266.324 1
278.11 266.098 1
273.355 329.739 1
288.045 291.283 1
194.988 187.942 1
175.218 178.061 1
303.79 266.605 1
191.479 189.406 1
191.546 200.696 1
183.189 185.521 1
102.292 107.54 1
461.748 1042.282 1
144.005 181.35 1
93.603 96.158 1
234.883 1554.625 1
224.739 126.231 1
1010.427 1283.089 1
125.292 105.124 1
130.884 162.539 1
211.606 207.309 1
28.971 166.348 1
123.785 104.154 1
200.941 55.487 1
104.278 109.671 1
59.077 523.397 1
216.646 203.648 1
184.446 213.968 1
105.621 106.301 1
228.402 242.049 1
125.096 119.519 1
426.98 1731.964 1
207.039 308.243 1
100.885 131.593 1
109.03 101.394 1
0.0 -292.58 1
118.562 123.631 1
197.343 180.859 1
140.043 127.255 1
260.62 260.471 1
111.261 145.3 1
188.904 193.84 1
167.807 115.817 1
380.564 412.884 1
106.732 107.844 1
394.105 870.6 1
269.235 271.561 1
235.968 241.318 1
291.247 279.719 1
146.332 156.207 1
220.393 215.697 1
194.133 265.781 1
239.038 231.564 1
242.017 319.871 1
332.663 505.097 1
262.951 257.327 1
120.377 113.652 1
278.991 304.698 1
287.346 336.607 1
421.749 681.439 1
265.712 367.44 1
285.436 299.145 1
149.366 150.518 1
96.256 1674.959 1
315.02 271.39 1
144.227 146.162 1
306.05 315.358 1
171.21 189.819 1
269.983 896.43 1
193.016 195.16 1
183.202 180.028 1
350.275 363.142 1
353.419 329.261 1
150.228 146.139 1
161.043 164.364 1
273.333 778.466 1
306.216 288.33 1
262.947 320.07 1
131.03 129.855 1
310.58 306.18 1
234.514 205.842 1
435.326 454.233 1
164.36 110.891 1
314.809 324.876 1
128.144 125.361 1
301.492 318.75 1
254.95 133.617 1
281.342 346.487 1
98.191 103.432 1
389.953 379.217 1
559.783 574.945 1
97.291 96.725 1
277.026 306.39 1
346.173 383.378 1
469.798 429.724 1
320.011 353.491 1
113.549 114.46 1
669.291 289.416 1
262.946 224.123 1
303.496 301.579 1
123.991 116.121 1
112.047 111.352 1
330.054 439.302 1
108.987 113.889 1
229.391 225.003 1
147.218 163.411 1
232.001 131.624 1
6.956 380.401 1
108.156 111.394 1
138.906 110.426 1
0.185 256.196 1
120.032 118.102 1
173.643 144.11 1
275.928 274.066 1
268.064 260.585 1
294.922 297.441 1
249.034 255.272 1
330.348 330.844 1
603.268 405.02 1
357.028 311.471 1
395.086 354.62 1
327.899 319.606 1
299.096 108.514 1
811.991 327.282 1
263.234 266.008 1
244.268 243.717 1
263.846 346.08 1
346.093 352.401 1
405.149 746.765 1
273.967 308.377 1
385.303 831.021 1
552.099 1302.292 1
270.011 285.777 1
294.118 374.306 1
257.944 252.366 1
794.919 328.508 1
