# fpr tpr
0.0 0.006947124662292551
0.0 0.007333076032419915
0.0 0.007719027402547279
0.0 0.008104978772674644
0.0 0.008490930142802007
0.0 0.00887688151292937
0.0 0.009262832883056734
0.0 0.0096487842531841
0.0 0.010034735623311463
0.0 0.010420686993438826
0.0 0.010806638363566191
0.0 0.011192589733693555
0.0 0.011578541103820918
0.0 0.011964492473948282
0.0 0.012350443844075647
0.0 0.01273639521420301
0.0 0.013122346584330374
0.0 0.013508297954457738
0.0 0.013894249324585103
0.0 0.014280200694712466
0.0 0.01466615206483983
0.0 0.015052103434967195
0.0 0.015438054805094558
0.0 0.015824006175221922
0.0 0.016209957545349287
0.0 0.01659590891547665
0.0 0.016981860285604014
0.0 0.01736781165573138
0.0 0.01775376302585874
0.0 0.018139714395986106
0.0 0.018911617136240833
0.0 0.0192975685063682
0.0 0.01968351987649556
0.0 0.020069471246622925
0.020833333333333332 0.020069471246622925
0.041666666666666664 0.020069471246622925
0.041666666666666664 0.02045542261675029
0.041666666666666664 0.020841373986877652
0.041666666666666664 0.021227325357005018
0.041666666666666664 0.021613276727132383
0.041666666666666664 0.021999228097259745
0.041666666666666664 0.02238517946738711
0.041666666666666664 0.02277113083751447
0.041666666666666664 0.023157082207641837
0.041666666666666664 0.023543033577769202
0.041666666666666664 0.023928984947896564
0.041666666666666664 0.02431493631802393
0.041666666666666664 0.024700887688151294
0.041666666666666664 0.025086839058278656
0.041666666666666664 0.02547279042840602
0.041666666666666664 0.025858741798533386
0.041666666666666664 0.026244693168660748
0.041666666666666664 0.026630644538788113
0.041666666666666664 0.027016595908915475
0.041666666666666664 0.02740254727904284
0.041666666666666664 0.027788498649170205
0.041666666666666664 0.028174450019297567
0.041666666666666664 0.028560401389424932
0.041666666666666664 0.028946352759552298
0.041666666666666664 0.02933230412967966
0.041666666666666664 0.029718255499807025
0.041666666666666664 0.03049015824006175
0.041666666666666664 0.030876109610189117
0.041666666666666664 0.03126206098031648
0.041666666666666664 0.032033963720571206
0.041666666666666664 0.032419915090698574
0.041666666666666664 0.032805866460825936
0.041666666666666664 0.0331918178309533
0.041666666666666664 0.033577769201080666
0.041666666666666664 0.03396372057120803
0.041666666666666664 0.03434967194133539
0.041666666666666664 0.03473562331146276
0.041666666666666664 0.03512157468159012
0.041666666666666664 0.03550752605171748
0.041666666666666664 0.03589347742184485
0.041666666666666664 0.03627942879197221
0.041666666666666664 0.036665380162099574
0.041666666666666664 0.037051331532226936
0.041666666666666664 0.037437282902354305
0.041666666666666664 0.03820918564260903
0.041666666666666664 0.03936703975299112
0.041666666666666664 0.04013894249324585
0.041666666666666664 0.04091084523350058
0.041666666666666664 0.04206869934388267
0.041666666666666664 0.0428406020841374
0.041666666666666664 0.04361250482439213
0.041666666666666664 0.04477035893477422
0.041666666666666664 0.04631416441528367
0.041666666666666664 0.047472018525665766
0.041666666666666664 0.04901582400617522
0.041666666666666664 0.05171748359706677
0.041666666666666664 0.05364724044770359
0.041666666666666664 0.05557699729834041
0.041666666666666664 0.057892705519104595
0.041666666666666664 0.05905055962948669
0.041666666666666664 0.06020841373986878
0.041666666666666664 0.06059436510999614
0.041666666666666664 0.0609803164801235
0.041666666666666664 0.06136626785025087
0.041666666666666664 0.061752219220378234
0.041666666666666664 0.062138170590505595
0.041666666666666664 0.06252412196063296
0.041666666666666664 0.06291007333076032
0.041666666666666664 0.06329602470088769
0.041666666666666664 0.06368197607101506
0.041666666666666664 0.06406792744114241
0.041666666666666664 0.06483983018139715
0.041666666666666664 0.06561173292165187
0.041666666666666664 0.0663836356619066
0.041666666666666664 0.06676958703203396
0.041666666666666664 0.06754148977228869
0.041666666666666664 0.06792744114241606
0.041666666666666664 0.06831339251254342
0.041666666666666664 0.06869934388267078
0.041666666666666664 0.06908529525279815
0.041666666666666664 0.06947124662292552
0.041666666666666664 0.06985719799305287
0.041666666666666664 0.07024314936318024
0.041666666666666664 0.07062910073330761
0.041666666666666664 0.07101505210343496
0.041666666666666664 0.07140100347356233
0.041666666666666664 0.0717869548436897
0.041666666666666664 0.07217290621381706
0.041666666666666664 0.07255885758394442
0.041666666666666664 0.0729448089540718
0.041666666666666664 0.07371671169432652
0.041666666666666664 0.07410266306445387
0.041666666666666664 0.07448861443458124
0.041666666666666664 0.07487456580470861
0.041666666666666664 0.07564646854496333
0.041666666666666664 0.0760324199150907
0.041666666666666664 0.07641837128521806
0.041666666666666664 0.0771902740254728
0.041666666666666664 0.07757622539560015
0.041666666666666664 0.07796217676572752
0.041666666666666664 0.07873407950598224
0.041666666666666664 0.07912003087610961
0.0625 0.07950598224623698
0.0625 0.07989193361636433
0.0625 0.0802778849864917
0.0625 0.08104978772674643
0.0625 0.0814357390968738
0.0625 0.08220764183712852
0.0625 0.08259359320725589
0.0625 0.08297954457738325
0.0625 0.08336549594751061
0.0625 0.08413739868776535
0.0625 0.08529525279814744
0.0625 0.0856812041682748
0.0625 0.08606715553840216
0.0625 0.08645310690852953
0.0625 0.08683905827865689
0.0625 0.08722500964878425
0.0625 0.08799691238903898
0.0625 0.08838286375916635
0.0625 0.08876881512929372
0.0625 0.08915476649942107
0.0625 0.08954071786954844
0.0625 0.09031262060980316
0.0625 0.09069857197993053
0.0625 0.09108452335005789
0.0625 0.09185642609031262
0.0625 0.09224237746043998
0.0625 0.09340023157082207
0.0625 0.09378618294094944
0.0625 0.09571593979158625
0.0625 0.09648784253184099
0.0625 0.09764569664222308
0.0625 0.09803164801235044
0.0625 0.09880355075260518
0.0625 0.09996140486298727
0.0625 0.10266306445387881
0.0625 0.10304901582400618
0.0625 0.1038209185642609
0.0625 0.10420686993438827
0.0625 0.10575067541489773
0.0625 0.10613662678502508
0.0625 0.10652257815515245
0.0625 0.10768043226553455
0.0625 0.10922423774604399
0.0625 0.11076804322655345
0.0625 0.11231184870706291
0.0625 0.11424160555769973
0.0625 0.11501350829795445
0.0625 0.11694326514859128
0.0625 0.1188730219992281
0.0625 0.12003087610961019
0.0625 0.12118873021999228
0.0625 0.12157468159011965
0.0625 0.12273253570050174
0.0625 0.1231184870706291
0.0625 0.12466229255113856
0.0625 0.1254341952913933
0.0625 0.126206098031648
0.0625 0.12697800077190274
0.0625 0.1273639521420301
0.0625 0.12774990351215748
0.0625 0.12929370899266693
0.0625 0.130451563103049
0.0625 0.13122346584330374
0.0625 0.13199536858355848
0.0625 0.13238131995368582
0.0625 0.13431107680432267
0.0625 0.13469702817445
0.0625 0.13546893091470474
0.0625 0.1358548822848321
0.0625 0.13662678502508685
0.0625 0.1370127363952142
0.0625 0.13739868776534156
0.0625 0.1381705905055963
0.0625 0.13855654187572367
0.0625 0.13894249324585103
0.0625 0.14087225009648785
0.0625 0.14203010420686993
0.0625 0.1424160555769973
0.0625 0.14280200694712467
0.0625 0.1435739096873794
0.0625 0.14395986105750674
0.0625 0.1443458124276341
0.0625 0.14473176379776148
0.0625 0.14550366653801622
0.0625 0.14627556927827093
0.0625 0.1466615206483983
0.0625 0.14704747201852567
0.0625 0.1478193747587804
0.0625 0.1485912774990351
0.0625 0.14897722886916248
0.0625 0.14936318023928985
0.0625 0.14974913160941722
0.0625 0.1509069857197993
0.0625 0.1520648398301814
0.0625 0.15245079120030877
0.0625 0.1528367425704361
0.0625 0.15360864531069085
0.0625 0.15399459668081822
0.0625 0.1543805480509456
0.0625 0.15553840216132767
0.0625 0.15708220764183714
0.0625 0.1586260131223466
0.0625 0.16016981860285603
0.0625 0.1605557699729834
0.0625 0.16132767271323814
0.0625 0.1628714781937476
0.0625 0.16325742956387496
0.0625 0.16441528367425703
0.0625 0.1648012350443844
0.0625 0.1659590891547665
0.0625 0.16634504052489385
0.0625 0.16673099189502122
0.0625 0.16788884600540332
0.0625 0.1702045542261675
0.0625 0.17097645696642222
0.0625 0.1725202624469317
0.0625 0.1744500192975685
0.0625 0.1756078734079506
0.0625 0.17637977614820533
0.0625 0.1767657275183327
0.0625 0.17715167888846006
0.0625 0.17753763025858743
0.0625 0.17946738710922425
0.0625 0.18023928984947896
0.0625 0.18139714395986106
0.0625 0.18332690081049788
0.0625 0.18371285218062525
0.0625 0.1852566576611347
0.0625 0.18564260903126206
0.0625 0.18757236588189888
0.0625 0.18795831725202625
0.0625 0.18873021999228098
0.0625 0.18988807410266306
0.0625 0.1906599768429178
0.0625 0.19181783095329988
0.0625 0.19258973369355462
0.0625 0.1937475878039367
0.0625 0.19451949054419143
0.0625 0.19529139328444617
0.0625 0.19722115013508298
0.0625 0.19837900424546506
0.0625 0.19876495561559243
0.0625 0.1991509069857198
0.0625 0.20069471246622925
0.0625 0.20108066383635662
0.0625 0.20262446931686606
0.0625 0.20416827479737554
0.0625 0.20532612890775762
0.0625 0.2068699343882671
0.0625 0.2076418371285218
0.0625 0.2087996912389039
0.0625 0.20995754534928598
0.0625 0.2118873021999228
0.08333333333333333 0.21343110768043227
0.08333333333333333 0.21420301042068698
0.08333333333333333 0.21497491316094172
0.08333333333333333 0.2153608645310691
0.08333333333333333 0.21574681590119646
0.08333333333333333 0.21767657275183327
0.08333333333333333 0.21806252412196064
0.08333333333333333 0.21883442686221535
0.08333333333333333 0.21922037823234272
0.08333333333333333 0.22037823234272483
0.08333333333333333 0.22307989193361635
0.08333333333333333 0.22346584330374372
0.08333333333333333 0.2250096487842532
0.08333333333333333 0.22655345426476264
0.08333333333333333 0.22732535700501738
0.08333333333333333 0.22848321111539946
0.08333333333333333 0.23079891933616364
0.08333333333333333 0.23195677344654572
0.08333333333333333 0.23272867618680046
0.08333333333333333 0.2335005789270552
0.08333333333333333 0.23504438440756464
0.08333333333333333 0.23581628714781938
0.08333333333333333 0.23697414125820146
0.08333333333333333 0.23736009262832883
0.08333333333333333 0.23928984947896564
0.08333333333333333 0.2419915090698572
0.08333333333333333 0.24430721729062138
0.08333333333333333 0.2454650714010035
0.08333333333333333 0.2462369741412582
0.08333333333333333 0.24855268236202238
0.08333333333333333 0.2504824392126592
0.08333333333333333 0.25318409880355075
0.08333333333333333 0.2547279042840602
0.08333333333333333 0.25549980702431496
