0.0 0.000179
0.0 0.000357
0.0 0.000536
0.0 0.000715
0.0 0.000894
0.0 0.001072
0.0 0.001251
0.001 0.001430
0.053 0.001609
0.054 0.001787
0.061 0.001966
0.061 0.002145
0.062 0.002324
0.063 0.002502
0.063 0.002681
0.064 0.002860
0.065 0.003038
0.065 0.003217
0.066 0.003396
0.066 0.003575
0.067 0.003753
0.067 0.003932
0.067 0.004111
0.067 0.004290
0.068 0.004468
0.069 0.004647
0.069 0.004826
0.069 0.005004
0.069 0.005183
0.069 0.005362
0.069 0.005541
0.07 0.005719
0.07 0.005898
0.07 0.006077
0.07 0.006256
0.071 0.006434
0.071 0.006613
0.071 0.006792
0.071 0.006971
0.072 0.007149
0.072 0.007328
0.072 0.007507
0.074 0.007685
0.075 0.007864
0.075 0.008043
0.076 0.008222
0.077 0.008400
0.077 0.008579
0.078 0.008758
0.079 0.008937
0.079 0.009115
0.079 0.009294
0.08 0.009473
0.081 0.009651
0.082 0.009830
0.082 0.010009
0.083 0.010188
0.083 0.010366
0.084 0.010545
0.084 0.010724
0.085 0.010903
0.086 0.011081
0.087 0.011260
0.088 0.011439
0.089 0.011618
0.089 0.011796
0.09 0.011975
0.09 0.012154
0.091 0.012332
0.091 0.012511
0.092 0.012690
0.092 0.012869
0.092 0.013047
0.092 0.013226
0.093 0.013405
0.093 0.013584
0.095 0.013762
0.097 0.013941
0.098 0.014120
0.099 0.014298
0.099 0.014477
0.099 0.014656
0.099 0.014835
0.101 0.015013
0.102 0.015192
0.104 0.015371
0.104 0.015550
0.106 0.015728
0.106 0.015907
0.107 0.016086
0.109 0.016265
0.109 0.016443
0.11 0.016622
0.111 0.016801
0.112 0.016979
0.112 0.017158
0.112 0.017337
0.112 0.017516
0.113 0.017694
0.114 0.017873
0.115 0.018052
0.115 0.018231
0.116 0.018409
0.116 0.018588
0.117 0.018767
0.118 0.018945
0.119 0.019124
0.121 0.019303
0.121 0.019482
0.123 0.019660
0.123 0.019839
0.125 0.020018
0.126 0.020197
0.126 0.020375
0.126 0.020554
0.127 0.020733
0.128 0.020912
0.128 0.021090
0.128 0.021269
0.128 0.021448
0.129 0.021626
0.129 0.021805
0.129 0.021984
0.13 0.022163
0.131 0.022341
0.131 0.022520
0.133 0.022699
0.135 0.022878
0.135 0.023056
0.136 0.023235
0.137 0.023414
0.137 0.023592
0.138 0.023771
0.138 0.023950
0.139 0.024129
0.141 0.024307
0.142 0.024486
0.143 0.024665
0.144 0.024844
0.145 0.025022
0.146 0.025201
0.146 0.025380
0.147 0.025559
0.148 0.025737
0.15 0.025916
0.15 0.026095
0.15 0.026273
0.154 0.026452
0.157 0.026631
0.158 0.026810
0.159 0.026988
0.159 0.027167
0.161 0.027346
0.162 0.027525
0.163 0.027703
0.163 0.027882
0.163 0.028061
0.164 0.028239
0.164 0.028418
0.166 0.028597
0.166 0.028776
0.167 0.028954
0.167 0.029133
0.169 0.029312
0.171 0.029491
0.171 0.029669
0.171 0.029848
0.175 0.030027
0.175 0.030206
0.175 0.030384
0.176 0.030563
0.178 0.030742
0.178 0.030920
0.179 0.031099
0.179 0.031278
0.18 0.031457
0.184 0.031635
0.184 0.031814
0.189 0.031993
0.189 0.032172
0.192 0.032350
0.195 0.032529
0.196 0.032708
0.196 0.032887
0.197 0.033065
0.198 0.033244
0.199 0.033423
0.201 0.033601
0.203 0.033780
0.217 0.033959
0.218 0.034138
0.22 0.034316
0.223 0.034495
0.224 0.034674
0.226 0.034853
0.226 0.035031
0.229 0.035210
0.231 0.035389
