# our_gap_ms badpass_delta_ms is_proxied
31.596 66.123 1
52.649 85.401 1
102.898 110.227 1
313.689 331.42 1
239.59 225.111 1
45.585 195.512 1
101.932 123.012 1
101.93 106.029 1
101.898 108.5 1
0.052 -0.719 1
103.873 166.619 1
100.527 124.675 1
139.461 141.835 1
100.435 111.933 1
0.0 -63.773 1
103.443 106.775 1
96.34 98.833 1
99.757 133.658 1
105.649 144.265 1
158.204 201.122 1
177.768 190.643 1
101.264 110.505 1
101.429 107.955 1
108.809 117.761 1
102.029 106.566 0
106.384 134.822 1
223.555 174.546 1
264.945 198.597 1
100.49 138.188 1
101.953 105.944 1
118.115 145.259 1
101.963 126.191 1
204.664 210.29 1
222.815 280.624 1
100.469 118.532 1
114.036 147.065 1
106.535 126.029 1
404.135 147.377 1
102.635 131.836 1
276.504 230.965 1
117.037 104.549 1
234.69 231.476 1
101.246 133.312 1
115.617 160.763 1
171.698 138.084 1
112.764 107.68 1
100.238 106.51 1
219.435 213.448 1
108.757 118.686 1
91.022 138.903 1
101.172 105.939 1
101.92 385.436 1
100.163 133.576 1
101.959 181.293 1
242.748 211.439 1
101.257 115.639 1
92.277 96.444 1
101.943 107.423 1
92.144 123.482 1
99.837 106.786 1
100.487 145.975 1
109.759 157.937 1
100.047 95.385 1
100.57 108.876 1
102.624 106.509 1
98.355 93.069 1
128.044 132.596 1
100.4 105.849 1
101.244 103.792 1
298.84 279.299 1
101.964 121.037 1
18.623 129.26 1
91.965 120.51 1
104.208 102.824 0
102.726 106.632 1
282.197 287.665 1
102.654 135.785 1
101.19 119.469 1
98.467 90.95 1
102.659 108.203 0
101.955 106.658 1
279.918 326.503 1
91.696 111.344 1
101.976 105.835 1
101.948 133.511 1
99.784 107.248 1
242.573 264.341 1
105.013 106.683 1
101.933 119.303 1
407.185 120.705 1
136.132 143.148 1
101.274 126.975 1
264.009 267.311 1
100.479 129.876 1
102.71 138.988 1
102.165 105.303 1
102.685 106.622 1
143.537 149.213 1
101.991 107.222 1
102.733 131.476 1
246.102 254.563 1
116.555 179.43 1
102.632 106.447 1
109.271 103.636 1
101.262 105.011 1
100.425 118.532 1
370.308 373.594 1
222.141 223.991 1
101.191 106.446 1
98.702 110.459 1
103.54 105.894 1
100.526 148.738 1
270.085 255.326 1
101.307 105.186 1
102.979 104.439 1
309.483 331.79 1
101.911 109.646 1
101.153 122.312 1
102.649 137.821 1
186.279 197.495 1
239.064 245.213 1
181.444 121.52 1
548.309 499.175 1
102.775 109.584 1
101.94 144.731 1
115.18 127.004 1
100.425 106.634 1
262.08 248.423 1
101.364 100.597 1
108.747 105.727 1
258.463 261.562 1
100.567 104.43 1
244.053 249.755 1
273.906 278.485 1
0.245 2.186 1
100.607 107.304 1
116.18 105.749 1
241.993 503.58 1
101.947 106.534 1
102.025 130.026 1
109.565 118.675 1
101.171 106.874 1
593.343 291.231 1
291.582 285.604 1
260.38 269.017 1
100.435 105.895 1
100.516 114.981 1
99.668 107.098 1
240.996 229.341 1
290.597 304.949 1
101.964 117.84 1
334.011 339.002 1
101.905 229.463 1
108.009 107.235 1
111.671 97.976 1
354.154 299.497 1
101.163 107.214 1
245.972 267.041 1
101.906 105.184 1
101.23 104.368 1
342.132 330.949 1
275.837 427.602 1
102.762 106.547 1
100.514 176.416 1
101.181 117.169 1
325.709 316.916 1
248.022 265.373 1
114.738 134.032 1
104.915 135.112 1
133.394 105.748 1
243.096 243.224 1
99.787 105.144 1
314.442 345.08 1
102.013 106.006 1
265.378 332.426 1
100.506 114.113 1
102.763 107.982 1
101.13 107.943 1
310.266 308.211 1
273.419 285.517 1
101.943 107.365 1
308.381 319.476 1
101.941 106.543 1
280.426 305.079 1
101.878 133.548 1
115.449 107.261 1
101.272 107.469 1
247.541 281.81 1
102.692 106.483 1
99.918 104.35 1
265.037 181.197 1
380.439 372.83 1
101.981 126.488 1
102.687 116.249 1
304.135 298.382 1
100.384 105.813 1
247.976 279.25 1
102.646 104.348 1
975.562 384.41 1
266.249 106.891 1
101.969 106.591 1
272.825 296.013 1
101.128 141.509 1
266.115 269.417 1
