# tcp_rtt_ms gap_ms variant
0.511 5.866
0.017 2.532
0.017 2.508
0.017 2.866
0.026 4.515
0.011 2.689
0.011 3.878
0.013 2.733
0.015 4.738
0.011 2.646
0.012 3.284
0.012 5.148
0.016 6.548
0.016 5.286
0.015 6.222
0.013 4.498
0.012 5.251
0.014 3.566
0.018 5.017
0.011 2.68
0.012 3.297
0.029 6.027
0.016 4.646
0.013 5.313
0.012 7.739
0.013 2.665
0.012 6.775
0.012 2.767
0.014 2.671
0.013 2.753
0.013 2.711
0.015 4.711
0.013 6.264
149.29 151.169
146.486 156.011
144.311 152.665
150.119 152.617
149.804 153.05
144.106 150.218
141.699 156.157
150.563 152.082
152.002 152.133
146.083 152.683
148.131 152.44
152.718 145.857
142.191 149.857
0.031 0.149
146.212 149.039
148.818 152.687
145.597 152.082
143.593 153.57
153.095 148.443
146.461 151.531
145.975 151.424
148.784 155.091
147.47 149.006
143.95 149.768
145.785 149.093
146.694 151.926
145.68 143.226
149.911 154.404
140.753 147.683
82.65 85.099
82.236 86.177
81.978 89.202
82.251 88.215
82.138 87.325
82.103 87.004
82.336 87.143
81.954 85.66
81.858 85.326
82.136 85.994
82.277 87.025
81.969 84.833
82.296 84.888
82.323 85.164
82.263 87.689
6.556 141.439
82.029 85.561
82.519 87.432
82.09 86.884
82.015 84.688
82.234 84.921
82.281 85.456
82.968 86.782
82.746 89.533
82.008 84.94
82.633 85.31
82.221 87.19
82.383 87.937
0.017 0.437
82.687 85.744
81.875 87.625
112.091 113.537
111.958 114.834
112.489 114.996
111.476 114.099
112.829 117.249
111.374 113.775
111.099 114.148
111.687 123.064
110.753 114.42
111.104 116.693
111.022 113.809
111.071 114.889
110.655 113.66
111.486 116.128
111.866 116.44
111.077 125.853
112.94 113.647
124.946 114.289
113.219 113.942
112.836 117.547
111.046 114.575
110.568 113.624
111.17 113.808
111.497 115.828
111.926 116.69
111.012 117.511
111.445 116.449
