0.0 0.009434
0.0 0.018868
0.0 0.028302
0.0 0.037736
0.0 0.047170
0.0 0.056604
0.0 0.066038
0.0 0.075472
0.0 0.084906
0.017 0.094340
0.019 0.103774
0.02 0.113208
0.022 0.122642
0.028 0.132075
0.028 0.141509
0.034 0.150943
0.034 0.160377
0.035 0.169811
0.035 0.179245
0.04 0.188679
0.052 0.198113
0.053 0.207547
0.06 0.216981
0.066 0.226415
0.07 0.235849
0.074 0.245283
0.096 0.254717
0.11 0.264151
0.112 0.273585
0.121 0.283019
0.164 0.292453
0.166 0.301887
0.177 0.311321
0.189 0.320755
0.193 0.330189
0.197 0.339623
0.221 0.349057
0.224 0.358491
0.242 0.367925
0.249 0.377358
0.255 0.386792
0.257 0.396226
0.26 0.405660
0.289 0.415094
0.292 0.424528
0.297 0.433962
0.305 0.443396
0.324 0.452830
0.36 0.462264
0.368 0.471698
0.395 0.481132
0.407 0.490566
0.407 0.500000
0.414 0.509434
0.431 0.518868
0.433 0.528302
0.434 0.537736
0.445 0.547170
0.448 0.556604
0.485 0.566038
0.503 0.575472
0.512 0.584906
0.513 0.594340
0.56 0.603774
0.565 0.613208
0.571 0.622642
0.589 0.632075
0.6 0.641509
0.602 0.650943
0.624 0.660377
0.625 0.669811
0.63 0.679245
0.631 0.688679
0.666 0.698113
0.673 0.707547
0.676 0.716981
0.676 0.726415
0.678 0.735849
0.708 0.745283
0.713 0.754717
0.728 0.764151
0.736 0.773585
0.737 0.783019
0.781 0.792453
0.835 0.801887
0.838 0.811321
0.864 0.820755
0.866 0.830189
0.87 0.839623
0.904 0.849057
1.009 0.858491
1.018 0.867925
1.032 0.877358
1.098 0.886792
1.131 0.896226
1.542 0.905660
1.737 0.915094
2.003 0.924528
2.067 0.933962
3.023 0.943396
3.059 0.952830
3.959 0.962264
4.906 0.971698
5.912 0.981132
14.822 0.990566
70.416 1.000000
