0.0 0.008333
0.0 0.016667
0.0 0.025000
0.0 0.033333
0.0 0.041667
0.0 0.050000
0.0 0.058333
0.0 0.066667
0.0 0.075000
0.036 0.083333
0.038 0.091667
0.038 0.100000
0.039 0.108333
0.039 0.116667
0.039 0.125000
0.039 0.133333
0.04 0.141667
0.04 0.150000
0.04 0.158333
0.04 0.166667
0.041 0.175000
0.041 0.183333
0.041 0.191667
0.041 0.200000
0.042 0.208333
0.042 0.216667
0.042 0.225000
0.042 0.233333
0.043 0.241667
0.044 0.250000
0.044 0.258333
0.044 0.266667
0.044 0.275000
0.044 0.283333
0.044 0.291667
0.044 0.300000
0.044 0.308333
0.045 0.316667
0.045 0.325000
0.045 0.333333
0.045 0.341667
0.045 0.350000
0.045 0.358333
0.045 0.366667
0.046 0.375000
0.046 0.383333
0.046 0.391667
0.046 0.400000
0.046 0.408333
0.046 0.416667
0.046 0.425000
0.046 0.433333
0.047 0.441667
0.047 0.450000
0.047 0.458333
0.047 0.466667
0.047 0.475000
0.047 0.483333
0.047 0.491667
0.048 0.500000
0.048 0.508333
0.048 0.516667
0.048 0.525000
0.048 0.533333
0.048 0.541667
0.049 0.550000
0.05 0.558333
0.052 0.566667
0.052 0.575000
0.053 0.583333
0.053 0.591667
0.054 0.600000
0.054 0.608333
0.055 0.616667
0.055 0.625000
0.055 0.633333
0.056 0.641667
0.058 0.650000
0.059 0.658333
0.06 0.666667
0.06 0.675000
0.06 0.683333
0.06 0.691667
0.061 0.700000
0.062 0.708333
0.063 0.716667
0.064 0.725000
0.065 0.733333
0.065 0.741667
0.066 0.750000
0.067 0.758333
0.068 0.766667
0.069 0.775000
0.07 0.783333
0.072 0.791667
0.074 0.800000
0.077 0.808333
0.086 0.816667
0.089 0.825000
0.09 0.833333
0.094 0.841667
0.101 0.850000
0.122 0.858333
0.138 0.866667
0.143 0.875000
0.146 0.883333
0.149 0.891667
0.24 0.900000
0.375 0.908333
0.426 0.916667
0.67 0.925000
1.133 0.933333
1.354 0.941667
1.411 0.950000
1.424 0.958333
1.473 0.966667
115.903 0.975000
116.442 0.983333
116.597 0.991667
163.861 1.000000
