threshold_ms,fpr,tpr,j
0.0,0.9230769230769231,0.9886492622020431,0.06557233912511995
0.5,0.47863247863247865,0.6833144154370034,0.2046819368045248
1.0,0.2222222222222222,0.6685584562996595,0.4463362340774373
1.5,0.1794871794871795,0.6651532349602725,0.48566605547309294
2.0,0.1623931623931624,0.6640181611804767,0.5016249987873144
2.5,0.1111111111111111,0.6640181611804767,0.5529070500693656
3.0,0.07692307692307693,0.662883087400681,0.5859600104776042
3.5,0.05982905982905983,0.662883087400681,0.6030540275716212
4.0,0.03418803418803419,0.662883087400681,0.6286950532126468
4.5,0.03418803418803419,0.662883087400681,0.6286950532126468
5.0,0.02564102564102564,0.6606129398410897,0.634971914200064
5.5,0.02564102564102564,0.6606129398410897,0.634971914200064
6.0,0.017094017094017096,0.659477866061294,0.6423838489672768
6.5,0.017094017094017096,0.659477866061294,0.6423838489672768
7.0,0.017094017094017096,0.6572077185017026,0.6401137014076854
7.5,0.017094017094017096,0.6572077185017026,0.6401137014076854
8.0,0.017094017094017096,0.6572077185017026,0.6401137014076854
8.5,0.017094017094017096,0.6572077185017026,0.6401137014076854
9.0,0.017094017094017096,0.6572077185017026,0.6401137014076854
9.5,0.017094017094017096,0.6572077185017026,0.6401137014076854
10.0,0.017094017094017096,0.6572077185017026,0.6401137014076854
10.5,0.017094017094017096,0.656072644721907,0.6389786276278898
11.0,0.017094017094017096,0.6549375709421112,0.6378435538480941
11.5,0.017094017094017096,0.6538024971623155,0.6367084800682984
12.0,0.017094017094017096,0.6538024971623155,0.6367084800682984
12.5,0.017094017094017096,0.6538024971623155,0.6367084800682984
13.0,0.017094017094017096,0.6538024971623155,0.6367084800682984
13.5,0.017094017094017096,0.6538024971623155,0.6367084800682984
14.0,0.017094017094017096,0.6526674233825198,0.6355734062885027
14.5,0.017094017094017096,0.6515323496027242,0.6344383325087071
15.0,0.008547008547008548,0.6503972758229285,0.64185026727592
15.5,0.008547008547008548,0.6503972758229285,0.64185026727592
16.0,0.008547008547008548,0.6503972758229285,0.64185026727592
16.5,0.008547008547008548,0.6503972758229285,0.64185026727592
17.0,0.008547008547008548,0.6492622020431328,0.6407151934961243
17.5,0.008547008547008548,0.6469920544835415,0.638445045936533
18.0,0.008547008547008548,0.6458569807037458,0.6373099721567372
18.5,0.008547008547008548,0.6458569807037458,0.6373099721567372
19.0,0.008547008547008548,0.64472190692395,0.6361748983769415
19.5,0.008547008547008548,0.64472190692395,0.6361748983769415
20.0,0.008547008547008548,0.64472190692395,0.6361748983769415
20.5,0.008547008547008548,0.64472190692395,0.6361748983769415
21.0,0.008547008547008548,0.64472190692395,0.6361748983769415
21.5,0.008547008547008548,0.64472190692395,0.6361748983769415
22.0,0.008547008547008548,0.64472190692395,0.6361748983769415
22.5,0.008547008547008548,0.64472190692395,0.6361748983769415
23.0,0.008547008547008548,0.6424517593643587,0.6339047508173502
23.5,0.008547008547008548,0.6424517593643587,0.6339047508173502
24.0,0.008547008547008548,0.641316685584563,0.6327696770375545
24.5,0.008547008547008548,0.641316685584563,0.6327696770375545
25.0,0.008547008547008548,0.641316685584563,0.6327696770375545
25.5,0.008547008547008548,0.641316685584563,0.6327696770375545
26.0,0.008547008547008548,0.6401816118047673,0.6316346032577588
26.5,0.008547008547008548,0.6401816118047673,0.6316346032577588
27.0,0.008547008547008548,0.6390465380249716,0.6304995294779631
27.5,0.008547008547008548,0.6390465380249716,0.6304995294779631
28.0,0.008547008547008548,0.6390465380249716,0.6304995294779631
28.5,0.008547008547008548,0.6390465380249716,0.6304995294779631
29.0,0.008547008547008548,0.637911464245176,0.6293644556981675
29.5,0.008547008547008548,0.6367763904653803,0.6282293819183717
30.0,0.008547008547008548,0.6367763904653803,0.6282293819183717
30.5,0.008547008547008548,0.6367763904653803,0.6282293819183717
31.0,0.008547008547008548,0.6367763904653803,0.6282293819183717
31.5,0.008547008547008548,0.6367763904653803,0.6282293819183717
32.0,0.008547008547008548,0.6367763904653803,0.6282293819183717
32.5,0.008547008547008548,0.6356413166855845,0.627094308138576
33.0,0.008547008547008548,0.6345062429057888,0.6259592343587803
33.5,0.008547008547008548,0.6345062429057888,0.6259592343587803
34.0,0.008547008547008548,0.6345062429057888,0.6259592343587803
34.5,0.008547008547008548,0.6345062429057888,0.6259592343587803
35.0,0.008547008547008548,0.6345062429057888,0.6259592343587803
35.5,0.008547008547008548,0.6333711691259932,0.6248241605789847
36.0,0.008547008547008548,0.6333711691259932,0.6248241605789847
36.5,0.008547008547008548,0.6333711691259932,0.6248241605789847
37.0,0.008547008547008548,0.6333711691259932,0.6248241605789847
37.5,0.008547008547008548,0.6322360953461975,0.623689086799189
38.0,0.008547008547008548,0.6322360953461975,0.623689086799189
38.5,0.008547008547008548,0.6322360953461975,0.623689086799189
39.0,0.008547008547008548,0.6322360953461975,0.623689086799189
39.5,0.008547008547008548,0.6311010215664018,0.6225540130193933
40.0,0.008547008547008548,0.6311010215664018,0.6225540130193933
40.5,0.008547008547008548,0.6311010215664018,0.6225540130193933
41.0,0.008547008547008548,0.6311010215664018,0.6225540130193933
41.5,0.008547008547008548,0.6311010215664018,0.6225540130193933
42.0,0.008547008547008548,0.6311010215664018,0.6225540130193933
42.5,0.008547008547008548,0.6311010215664018,0.6225540130193933
43.0,0.008547008547008548,0.6299659477866061,0.6214189392395976
43.5,0.008547008547008548,0.6299659477866061,0.6214189392395976
44.0,0.008547008547008548,0.6299659477866061,0.6214189392395976
44.5,0.008547008547008548,0.6299659477866061,0.6214189392395976
45.0,0.008547008547008548,0.6299659477866061,0.6214189392395976
