t_rel,traffic_type,gap_ms,tcp_rtt_ms,syn_ttl
,scope_direct,502.431,227.909,48
,scope_vpn,3.682,207.22,48
,scope_direct,2.805,209.486,48
,scope_vpn,2.798,208.184,48
,scope_direct,2.806,208.257,50
,scope_vpn,3.62,206.977,50
,scope_tor,4.585,207.234,48
,scope_direct,507.232,238.567,48
,scope_vpn,2.215,210.027,50
,scope_vpn,2.27,210.018,50
,scope_direct,2.586,206.92,48
,scope_tor,2.601,208.935,50
,scope_vpn,504.189,226.951,48
,scope_direct,1.951,210.236,50
,scope_vpn,1.951,210.189,50
,scope_direct,3.605,206.957,50
,scope_direct,3.41,207.179,50
,scope_vpn,2.825,207.648,48
,scope_tor,2.043,209.62,50
,scope_direct,498.734,235.19,48
,scope_direct,6.675,207.391,50
,scope_vpn,5.599,207.391,48
,scope_direct,2.837,308.698,44
,scope_vpn,2.448,332.259,32
,scope_squid,2.5,310.049,44
,scope_vpn,2.872,321.817,34
,scope_squid,3.403,321.902,34
,scope_vpn,2.409,321.455,34
,scope_squid,1.6,311.447,46
,scope_vpn,2.555,320.493,32
,scope_squid,0.603,323.322,34
,scope_vpn,2.601,320.354,34
,scope_tor,2.652,332.807,32
,scope_squid,3.88,333.685,32
,scope_vpn,0.597,335.133,32
,scope_tor,242.263,116.34,50
,scope_squid,2.784,333.54,32
,scope_vpn,3.083,332.818,32
,scope_squid,246.054,116.669,51
,scope_vpn,2.755,332.952,32
,scope_tor,0.744,334.298,30
,scope_squid,4.162,312.455,46
,scope_vpn,0.798,321.567,34
,scope_squid,249.235,116.154,50
,scope_tor,8.75,326.232,34
,scope_vpn,3.36,321.242,32
,scope_squid,0.258,323.694,34
,scope_vpn,272.885,116.549,49
,scope_tor,2.895,309.08,46
,scope_squid,3.676,332.649,32
,scope_vpn,2.671,308.486,44
,scope_squid,244.793,116.223,51
,scope_vpn,2.114,334.9,30
,scope_squid,2.598,320.005,34
,scope_vpn,2.312,320.753,34
,scope_squid,2.455,310.588,46
,scope_vpn,2.634,320.78,32
,scope_tor,3.554,320.279,34
,scope_squid,2.537,308.622,46
,scope_vpn,0.652,335.379,32
,scope_squid,251.195,116.617,51
,scope_tor,1.207,312.116,46
,scope_vpn,0.892,334.999,32
,scope_squid,2.833,335.305,32
,scope_vpn,250.457,115.809,51
,scope_squid,2.289,310.843,46
,scope_tor,2.637,320.014,32
,scope_vpn,2.417,322.052,34
,scope_squid,242.105,116.209,48
,scope_squid,2.508,309.476,46
,scope_squid,0.681,323.031,34
,scope_squid,2.249,322.075,34
,scope_squid,261.38,116.246,48
,scope_squid,4.029,146.656,57
,scope_squid,2.546,146.471,53
,scope_squid,2.74,151.919,57
,scope_squid,2.536,149.879,57
,scope_squid,2.54,140.452,57
,scope_squid,2.648,145.437,53
,scope_squid,2.609,142.422,57
,scope_squid,2.898,146.134,57
,scope_squid,2.611,146.761,57
,scope_squid,2.554,148.34,57
,scope_squid,2.984,151.902,57
,scope_squid,2.703,147.523,57
,scope_squid,3.679,147.239,57
,scope_squid,2.635,147.733,57
,scope_squid,2.713,140.488,57
,scope_squid,2.63,144.954,57
,scope_squid,2.758,152.378,57
,scope_squid,2.544,145.594,57
,scope_squid,2.746,146.638,57
,scope_squid,2.808,148.673,57
,scope_squid,3.393,146.074,57
,scope_squid,2.711,147.3,57
,scope_squid,4.175,146.322,57
,scope_squid,6.308,152.31,57
,scope_squid,2.635,148.209,57
,scope_squid,2.56,146.294,57
,scope_squid,2.681,148.653,57
,scope_squid,2.621,143.943,57
,scope_squid,2.604,148.797,57
,scope_squid,3.959,145.961,55
,scope_squid,2.635,149.401,57
,scope_squid,2.672,145.604,57
,scope_squid,2.604,142.789,57
,scope_squid,4.426,142.91,57
,scope_squid,2.663,143.383,55
,scope_squid,3.608,148.84,57
,scope_squid,2.5,146.542,57
,scope_squid,2.624,145.99,57
,scope_squid,3.929,146.075,57
,scope_squid,2.762,147.015,57
,scope_squid,2.672,145.777,51
,scope_squid,2.597,140.55,53
,scope_squid,2.528,142.549,57
,scope_squid,2.58,144.06,57
,scope_squid,2.64,145.652,53
,scope_squid,2.715,145.771,57
,scope_squid,2.693,151.209,57
,scope_squid,2.742,145.903,53
,scope_squid,2.496,143.771,57
,scope_squid,3.118,147.785,57
,scope_squid,2.809,148.969,57
,scope_squid,3.958,145.297,57
,scope_squid,2.629,145.669,57
,scope_squid,2.661,145.302,57
,scope_squid,3.952,151.664,55
,scope_squid,4.174,147.871,57
,scope_squid,4.403,146.045,57
,scope_squid,3.968,141.912,57
,scope_squid,3.672,148.54,57
,scope_squid,4.83,145.174,55
,scope_squid,4.078,151.658,57
,scope_squid,2.701,147.424,53
,scope_squid,3.546,142.54,57
,scope_squid,2.594,144.727,55
,scope_squid,6.712,152.901,57
,scope_squid,4.738,143.116,57
,scope_squid,2.67,148.782,53
,scope_squid,2.558,144.038,53
,scope_squid,2.78,143.336,57
,scope_squid,3.629,142.317,57
,scope_squid,4.292,147.65,57
,scope_squid,2.736,146.017,53
