t_rel,provider,protocol,country,client_ip,user_agent,ua_os,syn_ttl,syn_window,syn_mss,syn_options,syn_wscale,tcp_os,gap_ms,tcp_rtt_ms,fingerprint_mismatch
513.469,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,101.375,90.603,mismatch
516.310,soax,http_connect,za,ip_cbb29dea1991d240,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,64240,1460,"2,4,8,1,3",,linux,275.54,230.962,mismatch
516.546,soax,http_connect,za,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,104.292,92.268,mismatch
518.879,brightdata,http_connect,in,ip_9ef898c9e58e238b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,116,65535,1452,"2,1,3,1,1,4",,windows,283.087,213.973,mismatch
516.900,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,53,65535,1460,"2,4,8,1,3",,linux,103.32,89.329,mismatch
519.789,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,114.905,90.672,mismatch
521.193,brightdata,http_connect,in,ip_d8b7dc8794f678c2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,49,64240,1460,"2,4,8,1,3",,linux,272.4,228.748,mismatch
521.238,soax,http_connect,za,ip_90aa1c0b91d20be4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,49,65535,1452,"2,1,3,1,1,8,4,0,0",,linux,412.328,312.444,mismatch
522.342,soax,http_connect,za,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,102.687,92.183,mismatch
522.848,soax,http_connect,za,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,52,65535,1460,"2,4,8,1,3",,linux,103.537,90.688,mismatch
