t_rel,provider,protocol,country,client_ip,user_agent,ua_os,syn_ttl,syn_window,syn_mss,syn_options,syn_wscale,tcp_os,gap_ms,tcp_rtt_ms,fingerprint_mismatch
0.000,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,71.893,58.412,mismatch
5.070,soax,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,47,65535,1460,"2,1,1,8,1,3",,linux,131.701,58.423,mismatch
1.740,brightdata,http_connect,us,ip_6432abc63dda276d,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,55,65535,1460,"2,4,8,1,3",,linux,139.125,3.522,mismatch
4.630,direct,none,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,104.735,53.86,mismatch
5.111,direct,none,us,ip_3f930c2944a4c276,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,64240,1460,"2,4,8,1,3",,linux,0.045,66.882,mismatch
5.326,direct,none,us,ip_cbafa1b807ae276c,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,55,8192,1460,"2,1,3,1,1,4",,linux,257.172,1.68,match
7.270,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,44,65535,1460,"2,1,1,8,1,3",,linux,57.178,58.461,mismatch
12.972,soax,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,54.591,62.783,mismatch
13.423,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,50,65535,1460,"2,1,1,8,1,3",,linux,81.533,58.26,mismatch
12.240,direct,none,us,ip_97a55805323e8ecb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,55,42340,1460,"2,4,8,1,3",,linux,15.204,1.394,mismatch
13.824,brightdata,http_connect,us,ip_1a0bd8602052c5d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,56,29200,1460,"2,4,8,1,3",,linux,431.282,1.34,mismatch
13.847,brightdata,http_connect,us,ip_02290f70bf9886d1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1436,"2,4,8,1,3",,linux,177.304,102.488,mismatch
17.562,direct,none,us,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,51,65535,1460,"2,1,1,8,1,3",,linux,57.465,44.785,match
20.118,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,1,8,1,3",,linux,48.064,48.79,mismatch
20.516,brightdata,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,113.09,58.336,mismatch
21.496,direct,none,us,ip_34fdf29a4a695fb5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,47,64240,1300,"2,4,8,1,3",,linux,120.707,9.383,mismatch
22.535,direct,none,kr,ip_7e6c015252afcef4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,55,8192,1460,"2,1,3,1,1,4",,linux,35.052,1.558,mismatch
26.787,direct,none,kr,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,50,65535,1460,"2,1,1,8,1,3",,linux,46.325,58.383,match
28.045,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,58.399,56.177,mismatch
29.314,soax,http_connect,us,ip_ac46441ef609ee7c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,117,64240,1460,"2,1,3,1,1,4",,windows,97.119,30.03,match
32.697,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,46,65535,1460,"2,1,1,8,1,3",,linux,53.147,108.389,mismatch
32.826,direct,none,kr,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,50,65535,1460,"2,1,1,8,1,3",,linux,54.328,62.856,mismatch
33.892,soax,http_connect,us,ip_3aacf2aeb1b9d34c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,4,8,1,3",,linux,367.304,77.579,mismatch
34.062,direct,none,kr,ip_872046f1a28b6f95,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,119,64240,1460,"2,1,1,4,1,3",,windows,113.73,3.345,match
37.181,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,49.448,62.782,mismatch
38.469,direct,none,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,48,65535,1460,"2,1,1,8,1,3",,linux,53.606,58.448,mismatch
38.841,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,47,65535,1460,"2,1,1,8,1,3",,linux,94.246,62.819,mismatch
42.270,direct,none,kr,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,50,65535,1460,"2,1,1,8,1,3",,linux,68.059,53.788,mismatch
42.458,brightdata,http_connect,us,ip_39ecae16aa27eb48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,55,64240,1460,"2,4,8,1,3",,linux,29.577,21.325,mismatch
43.149,direct,none,kr,ip_25657b93e3fe2ad8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,55,42340,1460,"2,4,8,1,3",,linux,254.695,1.525,mismatch
43.178,direct,none,kr,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,46,65535,1460,"2,1,1,8,1,3",,linux,63.536,44.845,match
44.285,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,1,8,1,3",,linux,48.713,56.094,mismatch
45.854,soax,http_connect,us,ip_8110ce1231087e4d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,55,65535,1460,"2,4,8,1,3",,linux,48.265,3.763,mismatch
49.940,soax,http_connect,us,ip_9c8d8356a521f5d3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,55,29200,1460,"2,4,8,1,3",,linux,544.215,4.18,mismatch
49.832,direct,none,de,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,46.987,58.258,mismatch
50.436,direct,none,de,ip_da025e80c6112eda,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,54,64240,1460,"2,4,8,1,3",,linux,133.905,14.942,mismatch
58.181,direct,none,de,ip_90781959e1b3c243,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,55,65535,1460,"2,4,8,1,3",,linux,379.674,53.077,mismatch
58.335,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,56.043,58.349,mismatch
60.444,direct,none,de,ip_ef5cd26170bf627e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,118,65535,1460,"2,1,3,1,1,4",,windows,80.12,33.866,mismatch
66.084,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,53.484,58.719,mismatch
66.172,soax,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,110.365,132.888,mismatch
67.147,direct,none,de,ip_32edfb0eabd2bc35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,55,29200,1460,"2,4,8,1,3",,linux,584.554,5.715,match
66.858,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,80.749,71.796,mismatch
68.261,soax,http_connect,kr,ip_121010cff6281c51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,55,29200,1460,"2,4,8,1,3",,linux,508.689,7.533,mismatch
71.099,soax,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,40.027,50.448,mismatch
71.747,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,1,8,1,3",,linux,40.489,53.668,mismatch
74.263,soax,http_connect,kr,ip_1d85ed81897a5d0d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,29200,1460,"2,4,8,1,3",,linux,262.911,208.976,mismatch
74.295,brightdata,http_connect,us,ip_77b1322711578e3c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,111,65535,1460,"2,1,3,1,1,4",,windows,4.429,71.943,mismatch
75.880,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,47.3,58.279,mismatch
76.804,soax,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,49,65535,1460,"2,1,1,8,1,3",,linux,36.016,53.811,mismatch
79.386,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,44,65535,1460,"2,1,1,8,1,3",,linux,58.314,63.639,match
80.251,brightdata,http_connect,us,ip_712361961ebf6106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,115,64240,1460,"2,1,3,1,1,4",,windows,330.965,199.319,mismatch
80.407,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,76.317,63.498,mismatch
83.403,soax,http_connect,kr,ip_e11d34cce0bf7561,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,4,8,1,3",,linux,76.461,28.43,mismatch
85.816,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,47,65535,1460,"2,1,1,8,1,3",,linux,49.476,62.673,mismatch
86.251,direct,none,jp,ip_77abd1aa27396889,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,55,8192,1460,"2,1,3,1,1,4",,linux,26.451,1.83,match
86.460,brightdata,http_connect,kr,ip_10140200ef5c30d2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,4,8,1,3",,linux,252.902,177.087,mismatch
86.415,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,57.697,57.813,mismatch
87.389,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,67.388,55.68,mismatch
90.076,direct,none,jp,ip_5067933b8007163e,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,54,29200,1460,"2,4,8,1,3",,linux,39.706,9.847,mismatch
90.865,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,50,65535,1460,"2,1,1,8,1,3",,linux,44.933,53.868,match
91.602,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,58.355,58.214,mismatch
92.711,brightdata,http_connect,us,ip_2803d0f96147495a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,64240,1300,"2,4,8,1,3",,linux,63.328,10.175,mismatch
93.927,brightdata,http_connect,kr,ip_2fd0159ee59243b7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,3,1,1,8,4,0,0",,linux,377.281,189.949,mismatch
96.447,direct,none,jp,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,51,65535,1460,"2,1,1,8,1,3",,linux,40.551,62.798,match
97.372,direct,none,br,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,1,8,1,3",,linux,36.658,58.243,mismatch
97.669,direct,none,jp,ip_74b56c27d38abed3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,63,62727,1460,"2,4,8,1,3",,linux,0.609,2.002,mismatch
102.608,direct,none,br,ip_d281ec05ca0a6336,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,114,64240,1309,"2,1,3,1,1,4",,windows,582.322,531.425,match
101.913,soax,http_connect,kr,ip_a1de7bd3cfae7668,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,55,8192,1460,"2,1,3,1,1,4",,linux,337.478,1.571,mismatch
101.770,direct,none,br,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,57.558,44.968,mismatch
102.152,brightdata,http_connect,kr,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,50,65535,1460,"2,1,1,8,1,3",,linux,50.346,53.843,mismatch
103.099,soax,http_connect,kr,ip_6359a49564ecefd3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,64240,1460,"2,4,8,1,3",,linux,248.888,185.924,mismatch
108.088,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,54.669,59.043,mismatch
108.459,direct,none,br,ip_0328ff2fd3552e5e,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,51,65535,1460,"2,4,8,1,3",,linux,37.65,192.651,match
110.807,brightdata,http_connect,kr,ip_3e8a7b3227267b69,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,108,64240,1460,"2,1,3,1,1,4",,windows,213.717,194.403,match
112.776,soax,http_connect,de,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,52.473,58.331,mismatch
112.915,direct,none,br,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,57.647,62.871,mismatch
114.282,direct,none,br,ip_f71c625eea574121,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,115,64240,1460,"2,1,3,1,1,4",,windows,278.477,199.196,match
114.173,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,44.893,58.973,mismatch
117.478,soax,http_connect,de,ip_b1274640f35a8df5,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,110,65535,1420,"2,1,3,1,1,4",,windows,225.158,180.907,match
119.468,soax,http_connect,de,ip_19bff987e63bc1fd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,202.777,177.183,mismatch
120.821,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,62.135,57.609,mismatch
121.837,soax,http_connect,de,ip_01f505b7eeb28efc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,115,64240,1309,"2,1,3,1,1,4",,windows,458.395,294.189,match
123.407,direct,none,br,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,50,65535,1460,"2,1,1,8,1,3",,linux,50.732,53.78,match
127.997,brightdata,http_connect,kr,ip_da483fde6fd289ac,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,114,65535,1460,"2,1,3,1,1,4",,windows,1133.852,209.713,match
125.978,soax,http_connect,de,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,26.922,77.044,mismatch
128.611,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,63.789,58.231,mismatch
130.230,soax,http_connect,de,ip_fc36ca258d43bd9c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,112,64240,1460,"2,1,3,1,1,4",,windows,378.623,212.035,match
131.554,soax,http_connect,de,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,48.785,44.767,mismatch
134.144,soax,http_connect,de,ip_9ba91391be94aaf3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,115,64240,1460,"2,1,3,1,1,4",,windows,216.604,179.705,match
134.575,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,53.899,55.296,mismatch
135.161,brightdata,http_connect,kr,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,46,65535,1460,"2,1,1,8,1,3",,linux,89.711,57.597,mismatch
136.145,soax,http_connect,de,ip_6f19ca50113f1c97,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,114,64240,1309,"2,1,3,1,1,4",,windows,329.71,292.197,match
137.456,soax,http_connect,de,ip_4c37914f37ef05e0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,46,64240,1460,"2,4,8,1,3",,linux,239.053,210.538,mismatch
138.324,soax,http_connect,de,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,56.203,58.263,mismatch
139.014,brightdata,http_connect,de,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,1,8,1,3",,linux,53.911,61.914,mismatch
139.867,brightdata,http_connect,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,62.747,59.178,mismatch
140.975,soax,http_connect,de,ip_51b8f663e9b71a88,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,115,64240,1412,"2,1,3,1,1,4",,windows,105.316,104.682,match
142.032,soax,http_connect,de,ip_805162ea84be5648,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,113,64240,1460,"2,1,3,1,1,4",,windows,234.425,198.733,mismatch
141.379,brightdata,http_connect,kr,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,49.387,65.8,mismatch
143.131,soax,http_connect,de,ip_b84175ae19672fd0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,114,65535,1460,"2,1,3,1,1,4",,windows,244.921,212.277,match
