t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,715.783,65.66,52,oxylabs,socks5,mx
,us,108.021,102.072,55,oxylabs,socks5,mx
,us,133.271,94.456,56,oxylabs,socks5,mx
,us,140.018,97.664,56,oxylabs,socks5,mx
,us,99.231,38.831,52,oxylabs,socks5,mx
,us,172.635,83.918,51,oxylabs,socks5,mx
,us,135.133,107.706,56,oxylabs,socks5,mx
,us,159.623,83.888,56,oxylabs,socks5,mx
,us,104.054,49.424,53,oxylabs,socks5,mx
,us,318.582,112.228,55,oxylabs,socks5,mx
,us,177.869,110.237,52,oxylabs,socks5,mx
,us,147.487,85.352,56,oxylabs,socks5,mx
,us,110.506,51.2,52,oxylabs,socks5,mx
,us,128.932,73.649,51,oxylabs,socks5,mx
,us,149.88,91.704,56,oxylabs,socks5,mx
,us,128.035,113.569,56,oxylabs,socks5,mx
,us,114.21,69.191,46,oxylabs,socks5,mx
,us,137.987,75.343,54,oxylabs,socks5,mx
,us,110.515,63.458,50,oxylabs,socks5,mx
,us,148.05,58.936,53,oxylabs,socks5,mx
,us,184.137,87.209,56,oxylabs,socks5,mx
,us,165.341,103.145,55,oxylabs,socks5,mx
,us,120.91,62.402,53,oxylabs,socks5,mx
,us,400.397,77.993,52,oxylabs,socks5,mx
,us,106.961,78.884,49,oxylabs,socks5,mx
,us,147.882,87.552,55,oxylabs,socks5,mx
,us,161.756,75.966,55,oxylabs,socks5,mx
,us,375.967,103.8,52,oxylabs,socks5,mx
,us,126.0,86.592,51,oxylabs,socks5,mx
,us,113.654,94.464,56,oxylabs,socks5,mx
,us,139.853,93.169,54,oxylabs,socks5,mx
,us,164.891,108.214,56,oxylabs,socks5,mx
,us,121.51,97.888,50,oxylabs,socks5,mx
,us,118.785,120.792,56,oxylabs,socks5,mx
,us,116.484,68.063,43,oxylabs,socks5,mx
,us,139.192,79.971,51,oxylabs,socks5,mx
,us,132.819,89.537,52,oxylabs,socks5,mx
,us,142.175,94.181,55,oxylabs,socks5,mx
,us,97.603,71.891,53,oxylabs,socks5,mx
,us,93.23,66.703,53,oxylabs,socks5,mx
,us,121.36,99.135,55,oxylabs,socks5,br
,us,116.005,65.967,54,oxylabs,socks5,br
,us,239.049,92.617,51,oxylabs,socks5,br
,us,209.988,129.978,50,oxylabs,socks5,br
,us,189.117,132.653,51,oxylabs,socks5,br
,us,180.013,128.003,49,oxylabs,socks5,br
,us,189.763,148.449,48,oxylabs,socks5,br
,us,202.873,123.945,54,oxylabs,socks5,br
,us,210.957,129.987,47,oxylabs,socks5,br
,us,180.885,123.406,53,oxylabs,socks5,br
,us,205.186,142.143,50,oxylabs,socks5,br
,us,204.018,146.959,49,oxylabs,socks5,br
,us,190.893,134.983,49,oxylabs,socks5,br
,us,204.538,133.951,49,oxylabs,socks5,br
,us,196.576,141.996,47,oxylabs,socks5,br
,us,233.349,105.572,53,oxylabs,socks5,br
,us,193.958,137.014,49,oxylabs,socks5,br
,us,195.842,144.129,49,oxylabs,socks5,br
,us,197.004,131.453,46,oxylabs,socks5,br
,us,277.153,124.624,53,oxylabs,socks5,br
,us,188.031,132.381,49,oxylabs,socks5,br
,us,204.282,146.008,51,oxylabs,socks5,br
,us,203.015,171.055,47,oxylabs,socks5,br
,us,183.386,119.951,52,oxylabs,socks5,br
,us,191.983,130.583,51,oxylabs,socks5,br
,us,210.017,150.054,53,oxylabs,socks5,br
,us,200.118,130.805,51,oxylabs,socks5,br
,us,151.733,102.851,53,oxylabs,socks5,br
,us,208.044,148.329,50,oxylabs,socks5,br
,us,186.79,138.677,50,oxylabs,socks5,br
,us,188.533,130.443,49,oxylabs,socks5,br
,us,185.615,124.615,54,oxylabs,socks5,br
,us,218.451,126.906,49,oxylabs,socks5,br
,us,194.76,125.822,51,oxylabs,socks5,br
,us,188.004,131.852,49,oxylabs,socks5,br
,us,228.013,114.987,47,oxylabs,socks5,br
,us,175.998,144.951,52,oxylabs,socks5,br
,us,193.882,130.713,53,oxylabs,socks5,br
,us,195.017,167.535,52,oxylabs,socks5,br
,us,207.979,151.964,47,oxylabs,socks5,br
,us,200.524,136.072,49,oxylabs,socks5,br
,us,276.732,149.848,52,oxylabs,socks5,br
,us,189.534,131.389,49,oxylabs,socks5,br
,us,155.897,107.139,43,oxylabs,socks5,br
,us,246.416,136.578,52,oxylabs,socks5,br
,us,21.284,134.205,47,oxylabs,socks5,br
,us,210.703,130.301,54,oxylabs,socks5,br
,us,193.015,155.411,53,oxylabs,socks5,br
,us,175.906,103.131,53,oxylabs,socks5,br
,us,178.742,126.415,49,oxylabs,socks5,gb
,us,180.901,126.485,50,oxylabs,socks5,gb
,us,30.253,152.165,46,oxylabs,socks5,gb
,us,690.186,91.563,43,oxylabs,socks5,gb
,us,42.353,145.126,50,oxylabs,socks5,gb
